"","htgrk","htypek","hovedtype","adb_id"
0,"0","0","0 - Ikke kartlagt",""
1,"F","F01","F01 - Lagdelte fullsirkulerende (mono- og dimiktiske) vannmasser med fiskesamfunn","NA F1"
2,"F","F02","F02 - Ikke-lagdelte (polymiktiske) vannmasser med fiskesamfunn","NA F2"
3,"F","F03","F03 - Lagdelte fullsirkulerende (mono- og dimiktiske) naturlig fisketomme vannmasser","NA F3"
4,"F","F04","F04 - Ikke-lagdelte (polymiktiske) naturlig fisketomme vannmasser","NA F4"
5,"F","F05","F05 - Turbide vannmasser","NA F5"
6,"F","F06","F06 - Grottesjø-vannmasser","NA F6"
7,"F","F07","F07 - Innsjø-vannmasser preget av oksygenmangel","NA F7"
8,"F","F08","F08 - Elvevannmasser","NA F8"
9,"F","F09","F09 - Nye innsjø-vannmasser","NA F9"
10,"F","F10","F10 - Innsjø-vannmasser preget av kronisk kjemisk påvirkning","NA F10"
11,"F","F11","F11 - Innsjø-vannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F11"
12,"F","F12","F12 - Elvevannmasser preget av kronisk kjemisk påvirkning","NA F12"
13,"F","F13","F13 - Elvevannmasser preget av introduksjon eller bortfall av strukturerende organismer","NA F13"
14,"L","L01","L01 - Eufotisk fast innsjøbunn","NA L1"
15,"L","L02","L02 - Eufotisk innsjø-sedimentbunn","NA L2"
16,"L","L03","L03 - Afotisk (dyp) innsjø-sedimentbunn","NA L3"
17,"L","L04","L04 - Helofyttsump","NA L4"
18,"L","L05","L05 - Ferskvanns-undervannseng","NA L5"
19,"L","L06","L06 - Gjøl-bunn på fast torv","NA L6"
20,"L","L07","L07 - Innsjøbunn av dy og gytje","NA L7"
21,"L","L08","L08 - Innsjøbunn av grovt organisk materiale","NA L8"
22,"L","L09","L09 - Innsjøbunn preget av oksygenmangel","NA L9"
23,"L","L10","L10 - Arktisk permafrost-innsjøbunn","NA L10"
24,"L","L11","L11 - Ny innsjøbunn","NA L11"
25,"L","L12","L12 - Semi-naturlig eutrof innsjøbunn","NA L12"
26,"L","L13","L13 - Semi-naturlig vannstrand-eng","NA L13"
27,"L","L14","L14 - Ny sterkt endret innsjøbunn","NA L14"
28,"L","L15","L15 - Ny innsjøbunn med opphav i elvebunn","NA L15"
29,"L","L16","L16 - Innsjøbunn preget av kronisk fysisk forstyrrelse","NA L16"
30,"L","L17","L17 - Innsjøbunn preget av kronisk kjemisk påvirkning","NA L17"
31,"O","O01","O01 - Fast elvebunn","NA O1"
32,"O","O02","O02 - Elvesedimentbunn","NA O2"
33,"O","O03","O03 - Ferskvannskildebunn","NA O3"
34,"O","O04","O04 - Varm ferskvannskildebunn","NA O4"
35,"O","O05","O05 - Ny sedimentbunn i elv","NA O5"
36,"O","O06","O06 - Elvebunn preget av kronisk fysisk forstyrrelse","NA O6"
37,"O","O07","O07 - Elvebunn preget av kronisk fysikalsk-kjemisk påvirkning","NA O7"
