pid,_id,elementarySegment_id,majorType_id,lec_id,standardSegment_id
1,HU.0,HU.0,F-1,HU,F1-HU.0a
2,HU.a,HU.a,F-1,HU,F1-HU.0a
3,HU.b,HU.b,F-1,HU,F1-HU.bcd
4,HU.c,HU.c,F-1,HU,F1-HU.bcd
5,HU.d,HU.d,F-1,HU,F1-HU.bcd
6,KA.ab,KA.a,F-1,KA,F1-KA.abcde
7,KA.ab,KA.b,F-1,KA,F1-KA.abcde
8,KA.c,KA.c,F-1,KA,F1-KA.abcde
9,KA.d,KA.d,F-1,KA,F1-KA.abcde
10,KA.e,KA.e,F-1,KA,F1-KA.abcde
11,KA.f,KA.f,F-1,KA,F1-KA.fghi
12,KA.g,KA.g,F-1,KA,F1-KA.fghi
13,KA.h,KA.h,F-1,KA,F1-KA.fghi
14,KA.i,KA.i,F-1,KA,F1-KA.fghi
15,TU.0,TU.0,F-1,TU,F1-TU.0
16,TU.a,TU.a,F-1,TU,F1-TU.a
17,VF.0,VF.0,F-1,VF,
18,VF.a,VF.a,F-1,VF,
19,VF.b,VF.b,F-1,VF,F1-VF.bcde
20,VF.cd,VF.c,F-1,VF,F1-VF.bcde
21,VF.cd,VF.d,F-1,VF,F1-VF.bcde
22,VF.e,VF.e,F-1,VF,F1-VF.bcde
23,VF.f,VF.f,F-1,VF,F1-VF.fgh¤
24,VF.g,VF.g,F-1,VF,F1-VF.fgh¤
25,VF.h,VF.h,F-1,VF,F1-VF.fgh¤
26,VF.¤,VF.¤,F-1,VF,F1-VF.fgh¤
27,HU.0,HU.0,F-2,HU,F2-HU.0a
28,HU.a,HU.a,F-2,HU,F2-HU.0a
29,HU.b,HU.b,F-2,HU,F2-HU.bcd
30,HU.c,HU.c,F-2,HU,F2-HU.bcd
31,HU.d,HU.d,F-2,HU,F2-HU.bcd
32,KA.ab,KA.a,F-2,KA,F2-KA.ab
33,KA.ab,KA.b,F-2,KA,F2-KA.ab
34,KA.c,KA.c,F-2,KA,F2-KA.cde
35,KA.d,KA.d,F-2,KA,F2-KA.cde
36,KA.e,KA.e,F-2,KA,F2-KA.cde
37,KA.f,KA.f,F-2,KA,F2-KA.fghi
38,KA.g,KA.g,F-2,KA,F2-KA.fghi
39,KA.h,KA.h,F-2,KA,F2-KA.fghi
40,KA.i,KA.i,F-2,KA,F2-KA.fghi
41,KO.0,KO.0,F-2,KO,F2-KO.0
42,KO.+,KO.+,F-2,KO,F2-KO.+
43,SM.0,SM.0,F-2,SM,
44,SM.a,SM.a,F-2,SM,
45,SM.b,SM.b,F-2,SM,F2-SM.bc
46,SM.c,SM.c,F-2,SM,F2-SM.bc
47,SM.d,SM.d,F-2,SM,F2-SM.def
48,SM.g,SM.g,F-2,SM,F2-SM.ghi
49,SM.h,SM.h,F-2,SM,F2-SM.ghi
50,SM.i,SM.i,F-2,SM,F2-SM.ghi
51,SM.¤,SM.¤,F-2,SM,F2-SM.¤
52,SM.e,SM.e,F-2,SM,F2-SM.def
53,SM.f,SM.f,F-2,SM,F2-SM.def
54,TU.0,TU.0,F-2,TU,F2-TU.0
55,TU.a,TU.a,F-2,TU,F2-TU.a
56,FK.0,FK.0,F-3,FK,
57,FK.a,FK.a,F-3,FK,F3-FK.a
58,FK.b,FK.b,F-3,FK,F3-FK.b
59,FK.c,FK.c,F-3,FK,F3-FK.c
60,FK.d,FK.d,F-3,FK,F3-FK.d
61,FK.e,FK.e,F-3,FK,F3-FK.e
62,OM.0,OM.0,F-3,OM,
63,OM.a,OM.a,F-3,OM,
64,OM.b,OM.b,F-3,OM,
65,OM.¤,OM.¤,F-3,OM,F3-OM.¤
66,HU.0,HU.0,F-4,HU,F4-HU.0a
67,HU.a,HU.a,F-4,HU,F4-HU.0a
68,HU.b,HU.b,F-4,HU,F4-HU.bcd
69,HU.c,HU.c,F-4,HU,F4-HU.bcd
70,HU.d,HU.d,F-4,HU,F4-HU.bcd
71,KA.ab,KA.a,F-4,KA,F4-KA.abcde
72,KA.ab,KA.b,F-4,KA,F4-KA.abcde
73,KA.c,KA.c,F-4,KA,F4-KA.abcde
74,KA.d,KA.d,F-4,KA,F4-KA.abcde
75,KA.e,KA.e,F-4,KA,F4-KA.abcde
76,KA.f,KA.f,F-4,KA,F4-KA.fghi
77,KA.g,KA.g,F-4,KA,F4-KA.fghi
78,KA.h,KA.h,F-4,KA,F4-KA.fghi
79,KA.i,KA.i,F-4,KA,F4-KA.fghi
80,SY.0,SY.0,F-4,SY,
81,SY.a,SY.a,F-4,SY,F4-SY.a
82,SY.b,SY.b,F-4,SY,F4-SY.b
83,SY.c,SY.c,F-4,SY,F4-SY.c
84,SY.d,SY.d,F-4,SY,
85,TU.0,TU.0,F-4,TU,F4-TU.0
86,TU.a,TU.a,F-4,TU,F4-TU.a
87,VF.0,VF.0,F-4,VF,
88,VF.a,VF.a,F-4,VF,
89,VF.b,VF.b,F-4,VF,F4-VF.bcde
90,VF.cd,VF.c,F-4,VF,F4-VF.bcde
91,VF.cd,VF.d,F-4,VF,F4-VF.bcde
92,VF.e,VF.e,F-4,VF,F4-VF.bcde
93,VF.f,VF.f,F-4,VF,F4-VF.fgh¤
94,VF.g,VF.g,F-4,VF,F4-VF.fgh¤
95,VF.h,VF.h,F-4,VF,F4-VF.fgh¤
96,VF.¤,VF.¤,F-4,VF,F4-VF.fgh¤
97,HU.0,HU.0,F-5,HU,F5-HU.0a
98,HU.a,HU.a,F-5,HU,F5-HU.0a
99,HU.b,HU.b,F-5,HU,F5-HU.bcd
100,HU.c,HU.c,F-5,HU,F5-HU.bcd
101,HU.d,HU.d,F-5,HU,F5-HU.bcd
102,KA.ab,KA.a,F-5,KA,F5-KA.abcde
103,KA.ab,KA.b,F-5,KA,F5-KA.abcde
104,KA.c,KA.c,F-5,KA,F5-KA.abcde
